jahr;quelle;allgemeines_schlagwort;spezifisches_schlagwort;satz;kwic;url
2001;SPIEGEL;attentat;bin laden;"»Allahu akbar« (""Gott ist groß""), rief die Festgemeinde.</p><p> Nichts ist bewiesen: Das Attentat auf das amerikanische Kriegsschiff im Jemen gilt bis heute als nicht vollständig geklärt; eine direkte Verantwortung für die Tat hat Osama Bin Laden, bei aller zur Schau gestellten Genugtuung über die Attentate, bei aller Sympathie für die Mörder, stets geleugnet oder zumindest nicht bestätigt - genauso wie er eine Beteiligung an den verheerenden Anschlägen gegen die US-Botschaften in Kenia und Tansania 1998 bestritt.";ist bewiesen Das Attentat auf das amerikanische;https://www.spiegel.de/politik/der-prinz-und-die-terror-gmbh-a-5b67fd7d-0002-0001-0000-000020129105
2001;SPIEGEL;tat;osama bin laden;"»Allahu akbar« (""Gott ist groß""), rief die Festgemeinde.</p><p> Nichts ist bewiesen: Das Attentat auf das amerikanische Kriegsschiff im Jemen gilt bis heute als nicht vollständig geklärt; eine direkte Verantwortung für die Tat hat Osama Bin Laden, bei aller zur Schau gestellten Genugtuung über die Attentate, bei aller Sympathie für die Mörder, stets geleugnet oder zumindest nicht bestätigt - genauso wie er eine Beteiligung an den verheerenden Anschlägen gegen die US-Botschaften in Kenia und Tansania 1998 bestritt.";Verantwortung für die Tat hat Osama Bin;https://www.spiegel.de/politik/der-prinz-und-die-terror-gmbh-a-5b67fd7d-0002-0001-0000-000020129105
2001;SPIEGEL;tat;bin laden;"»Allahu akbar« (""Gott ist groß""), rief die Festgemeinde.</p><p> Nichts ist bewiesen: Das Attentat auf das amerikanische Kriegsschiff im Jemen gilt bis heute als nicht vollständig geklärt; eine direkte Verantwortung für die Tat hat Osama Bin Laden, bei aller zur Schau gestellten Genugtuung über die Attentate, bei aller Sympathie für die Mörder, stets geleugnet oder zumindest nicht bestätigt - genauso wie er eine Beteiligung an den verheerenden Anschlägen gegen die US-Botschaften in Kenia und Tansania 1998 bestritt.";Verantwortung für die Tat hat Osama Bin;https://www.spiegel.de/politik/der-prinz-und-die-terror-gmbh-a-5b67fd7d-0002-0001-0000-000020129105
2001;SPIEGEL;anschlag;bin laden;Bin Laden habe ihm vor drei Wochen gesagt, dass er einen Anschlag noch nie da gewesenen Ausmaßes auf die USA plane: »Unser Stich wird Amerika ins Herz treffen.«</p><p> Schwerer als solche Äußerungen dürfte wiegen, dass die Art und Durchführung des am letzten Dienstag erlebten Terrors gegen die Zentren der amerikanischen Macht die planerische Handschrift Osama Bin Ladens und seiner Leute trägt.;dass er einen Anschlag noch nie da;https://www.spiegel.de/politik/der-prinz-und-die-terror-gmbh-a-5b67fd7d-0002-0001-0000-000020129105
2001;SPIEGEL;anschlag;world trade center;Bis dahin war es so was wie der Anschlag auf das World Trade Center in 1993.;was wie der Anschlag auf das World;https://www.spiegel.de/politik/das-loch-in-der-welt-a-e3333bd7-0002-0001-0000-000020129167
2001;SPIEGEL;anschlag;world trade center;Und es ist die Hoffnungslosigkeit, die Menschen zu solchen fanatischen Handlungen wie in New York und Washington treibt.</p><p> SPIEGEL: Hätten Sie sich denn die infernalischen Ausmaße dieses Fanatismus ausmalen können, wie er sich jetzt in Washington und New York dokumentiert hat?</p><p> Johnson: Aber gewiss doch, es ist ja der zweite Anschlag auf das World Trade Center.;ja der zweite Anschlag auf das World;https://www.spiegel.de/politik/hass-von-ganzem-herzen-a-373d42f3-0002-0001-0000-000020129214
2001;SPIEGEL;anschlag;world trade center;<p> Die Anweisung kam per Fernschreiben, nicht einmal zwei Stunden nach dem Anschlag auf das World Trade Center in New York vergangenen Dienstag.;Stunden nach dem Anschlag auf das World;https://www.spiegel.de/politik/polizeifreie-raeume-a-ae5f666e-0002-0001-0000-000020128696
2001;SPIEGEL;angriff;world trade center;Selbst wenn gar nicht bekannt ist, dass der erste Akt noch lange nicht der letzte dieser menschenverachtenden Tragödie gewesen sein wird.</p><p> Genau 18 Minuten gaben die Terroristen den Sendern nach dem ersten Angriff Zeit, dann raste der zweite entführte Passagier-Jet in den Südturm des World Trade Center und verschwand in einem gewaltigen Feuerball.</p><p> Mit perfektem Timing hatten die Attentäter so dafür gesorgt, dass der spektakulärste Akt ihrer Horror-Aufführung live in die ganze Welt übertragen wurde.</p><p> »Sie haben es inszeniert wie eine TV-Show«, sagt die amerikanische Medienprofessorin Joan Deppa: »Es sollte vor unser aller Augen stattfinden.«</p><p> Einen besseren Ort hätten sich die Terroristen nicht aussuchen können: Nirgendwo gibt es so gute Kommunikationseinrichtungen und so schnelle Übertragungswege wie in Manhattan, und in keiner Stadt arbeiten so viele Journalisten wie in New York, dem Sitz der größten Medienkonzerne der Welt.</p><p> Und so wurde die Arbeit der TV-Sender selbst nach den verheerenden Anschlägen nur vorübergehend behindert: New Yorker Lokalsender, die ihre Programme über Antennen auf dem zerstörten World Trade Center ausgestrahlt hatten, waren nur noch im Kabel zu empfangen.;nach dem ersten Angriff Zeit dann raste;https://www.spiegel.de/politik/die-echtzeit-katastrophe-a-0c1888e1-0002-0001-0000-000020129082
2001;SPIEGEL;anschlag;world trade center;<p> SAMSTAG</p><p> 22.10 - 0.15 UHR VOX</p><p> SPIEGEL TV SPECIAL</p><p> Ohnmacht einer Nation - Chronik des Terrors gegen die USA</p><p> Von Pearl Harbor über Oklahoma bis zum World Trade Center wird das Selbstbewusstsein der Supermacht erschüttert.</p><p> SONNTAG</p><p> 22.00 - 22.50 UHR RTL</p><p> SPIEGEL TV MAGAZIN</p><p> Der globale Anschlag - internationaler Terrorismus wird zur alltäglichen Bedrohung</p><p> Schwerpunktsendung zu den verheerenden Flugzeug-Attentaten in den USA.</p><p> MONTAG</p><p> 23.15 - 23.45 UHR SAT.1</p><p> SPIEGEL TV REPORTAGE</p><p> Verdacht: Kindesmissbrauch - Ermittlungen der Kripo Hannover Teil 1</p><p> In der zweiteiligen Reportage werden zwei Verdachtsfälle von schwerem Kindesmissbrauch dokumentiert.;p Der globale Anschlag internationaler Terrorismus wird;https://www.spiegel.de/politik/spiegel-tv-a-4cc328cb-0002-0001-0000-000020129519
2001;SPIEGEL;aktion;bin laden;Bin Laden bestellte für »die Aktion im Jemen« ein Videoteam, das die Tat dokumentieren sollte.;bestellte für die Aktion im Jemen ein;https://www.spiegel.de/politik/chamaeleon-co-a-02e8e2be-0002-0001-0000-000020184252
2001;SPIEGEL;tat;bin laden;Bin Laden bestellte für »die Aktion im Jemen« ein Videoteam, das die Tat dokumentieren sollte.;Videoteam das die Tat dokumentieren sollte;https://www.spiegel.de/politik/chamaeleon-co-a-02e8e2be-0002-0001-0000-000020184252
2001;SPIEGEL;angriff;al-qaida;"An seine Streitkräfte gewandt, befahl Bush: »Seid bereit.« Seinen Landsleuten und Verbündeten machte er ohne Umschweife klar: »Die Stunde naht, da Amerika handeln wird, und unsere Armee wird uns stolz machen.«</p><p> Den Tag des Losschlagens nannte Bush noch nicht, aber er ergibt sich aus dem Ultimatum, das er dem »verdammenswerten Taliban-Regime« in Kabul gestellt hat - in der sicheren Erwartung, das es nicht erfüllt wird.</p><p> Um einen Angriff zu vermeiden, müssten die afghanischen Steinzeit-Islamisten unter anderem »sofort und ohne Diskussion«</p><p> * alle Anführer des al-Qaida-Netzwerks, das Osama Bin Laden gegründet hat, an die USA ausliefern;</p><p> * alle Terroristencamps schließen und alle Terroristen an die US-Behörden ausliefern;</p><p> * ungehinderten Zugang zu den Terroristencamps gewährleisten, damit sich die Vereinigten Staaten von der Räumung überzeugen können;</p><p> * die acht Mitarbeiter der westlichen Hilfsorganisation Shelter Now freilassen.</p><p> Nachdem die Taliban-Geistlichen, wie erwartet, auf diese Maximalforderungen nicht eingegangen sind, das ist die Konsequenz aus Bushs beifallumtoster Rede vor dem Kongress in Washington, wird er ihnen wohl bald den Krieg erklären.</p><p> Mit einer großen pathetischen Inszenierung legte Bush vor dem auf dem Kapitol versammelten Establishment der Vereinigten Staaten - Regierung, Senat, Repräsentantenhaus und Richter des Supreme Court - die Grundlagen für den weltweiten Feldzug gegen den Terrorismus.</p><p> Denn der Tod oder die Ergreifung Bin Ladens und der Sturz der fundamentalistischen Clique in Kabul soll nur der Anfang sein: Mit seiner Rede an die Nation stimmte der Präsident seine Landsleute auf einen langen Kreuzzug gegen alle Terroristen ein, die den Islam militant und mörderisch gegen ihren Todfeind Amerika auslegen: »Wir werden nicht in unserer Mühe nachlassen, wir werden nicht der Schwäche nachgeben, und wir werden nicht fehlen«, sagte er in Anlehnung an die mit biblischem Wortschatz untermauerten Ansprachen Franklin Delano Roosevelts zu Beginn des Zweiten Weltkriegs.</p><p> Die anschwellende Kriegsentschlossenheit gibt die ungeheure Spannung wieder, unter der Amerika seit dem 11.";p Um einen Angriff zu vermeiden müssten;https://www.spiegel.de/politik/zehn-jahre-krieg-a-473e0887-0002-0001-0000-000020184294
2001;SPIEGEL;angriff;osama bin laden;"An seine Streitkräfte gewandt, befahl Bush: »Seid bereit.« Seinen Landsleuten und Verbündeten machte er ohne Umschweife klar: »Die Stunde naht, da Amerika handeln wird, und unsere Armee wird uns stolz machen.«</p><p> Den Tag des Losschlagens nannte Bush noch nicht, aber er ergibt sich aus dem Ultimatum, das er dem »verdammenswerten Taliban-Regime« in Kabul gestellt hat - in der sicheren Erwartung, das es nicht erfüllt wird.</p><p> Um einen Angriff zu vermeiden, müssten die afghanischen Steinzeit-Islamisten unter anderem »sofort und ohne Diskussion«</p><p> * alle Anführer des al-Qaida-Netzwerks, das Osama Bin Laden gegründet hat, an die USA ausliefern;</p><p> * alle Terroristencamps schließen und alle Terroristen an die US-Behörden ausliefern;</p><p> * ungehinderten Zugang zu den Terroristencamps gewährleisten, damit sich die Vereinigten Staaten von der Räumung überzeugen können;</p><p> * die acht Mitarbeiter der westlichen Hilfsorganisation Shelter Now freilassen.</p><p> Nachdem die Taliban-Geistlichen, wie erwartet, auf diese Maximalforderungen nicht eingegangen sind, das ist die Konsequenz aus Bushs beifallumtoster Rede vor dem Kongress in Washington, wird er ihnen wohl bald den Krieg erklären.</p><p> Mit einer großen pathetischen Inszenierung legte Bush vor dem auf dem Kapitol versammelten Establishment der Vereinigten Staaten - Regierung, Senat, Repräsentantenhaus und Richter des Supreme Court - die Grundlagen für den weltweiten Feldzug gegen den Terrorismus.</p><p> Denn der Tod oder die Ergreifung Bin Ladens und der Sturz der fundamentalistischen Clique in Kabul soll nur der Anfang sein: Mit seiner Rede an die Nation stimmte der Präsident seine Landsleute auf einen langen Kreuzzug gegen alle Terroristen ein, die den Islam militant und mörderisch gegen ihren Todfeind Amerika auslegen: »Wir werden nicht in unserer Mühe nachlassen, wir werden nicht der Schwäche nachgeben, und wir werden nicht fehlen«, sagte er in Anlehnung an die mit biblischem Wortschatz untermauerten Ansprachen Franklin Delano Roosevelts zu Beginn des Zweiten Weltkriegs.</p><p> Die anschwellende Kriegsentschlossenheit gibt die ungeheure Spannung wieder, unter der Amerika seit dem 11.";p Um einen Angriff zu vermeiden müssten;https://www.spiegel.de/politik/zehn-jahre-krieg-a-473e0887-0002-0001-0000-000020184294
2001;SPIEGEL;angriff;bin laden;"An seine Streitkräfte gewandt, befahl Bush: »Seid bereit.« Seinen Landsleuten und Verbündeten machte er ohne Umschweife klar: »Die Stunde naht, da Amerika handeln wird, und unsere Armee wird uns stolz machen.«</p><p> Den Tag des Losschlagens nannte Bush noch nicht, aber er ergibt sich aus dem Ultimatum, das er dem »verdammenswerten Taliban-Regime« in Kabul gestellt hat - in der sicheren Erwartung, das es nicht erfüllt wird.</p><p> Um einen Angriff zu vermeiden, müssten die afghanischen Steinzeit-Islamisten unter anderem »sofort und ohne Diskussion«</p><p> * alle Anführer des al-Qaida-Netzwerks, das Osama Bin Laden gegründet hat, an die USA ausliefern;</p><p> * alle Terroristencamps schließen und alle Terroristen an die US-Behörden ausliefern;</p><p> * ungehinderten Zugang zu den Terroristencamps gewährleisten, damit sich die Vereinigten Staaten von der Räumung überzeugen können;</p><p> * die acht Mitarbeiter der westlichen Hilfsorganisation Shelter Now freilassen.</p><p> Nachdem die Taliban-Geistlichen, wie erwartet, auf diese Maximalforderungen nicht eingegangen sind, das ist die Konsequenz aus Bushs beifallumtoster Rede vor dem Kongress in Washington, wird er ihnen wohl bald den Krieg erklären.</p><p> Mit einer großen pathetischen Inszenierung legte Bush vor dem auf dem Kapitol versammelten Establishment der Vereinigten Staaten - Regierung, Senat, Repräsentantenhaus und Richter des Supreme Court - die Grundlagen für den weltweiten Feldzug gegen den Terrorismus.</p><p> Denn der Tod oder die Ergreifung Bin Ladens und der Sturz der fundamentalistischen Clique in Kabul soll nur der Anfang sein: Mit seiner Rede an die Nation stimmte der Präsident seine Landsleute auf einen langen Kreuzzug gegen alle Terroristen ein, die den Islam militant und mörderisch gegen ihren Todfeind Amerika auslegen: »Wir werden nicht in unserer Mühe nachlassen, wir werden nicht der Schwäche nachgeben, und wir werden nicht fehlen«, sagte er in Anlehnung an die mit biblischem Wortschatz untermauerten Ansprachen Franklin Delano Roosevelts zu Beginn des Zweiten Weltkriegs.</p><p> Die anschwellende Kriegsentschlossenheit gibt die ungeheure Spannung wieder, unter der Amerika seit dem 11.";p Um einen Angriff zu vermeiden müssten;https://www.spiegel.de/politik/zehn-jahre-krieg-a-473e0887-0002-0001-0000-000020184294
2001;SPIEGEL;angriff;osama bin laden;Die Uno ist die richtige Organisation, um dieses Problem in Angriff zu nehmen, ohne dass dabei mit verschiedenen Maßstäben gemessen wird.</p><p> SPIEGEL: Die USA sehen in Osama Bin Laden, der in Afghanistan Zuflucht gesucht hat, ihren größten Feind.;dieses Problem in Angriff zu nehmen ohne;https://www.spiegel.de/politik/terror-ist-eine-frage-der-definition-a-7e5d7ccc-0002-0001-0000-000020184302
2001;SPIEGEL;angriff;bin laden;Die Uno ist die richtige Organisation, um dieses Problem in Angriff zu nehmen, ohne dass dabei mit verschiedenen Maßstäben gemessen wird.</p><p> SPIEGEL: Die USA sehen in Osama Bin Laden, der in Afghanistan Zuflucht gesucht hat, ihren größten Feind.;dieses Problem in Angriff zu nehmen ohne;https://www.spiegel.de/politik/terror-ist-eine-frage-der-definition-a-7e5d7ccc-0002-0001-0000-000020184302
2001;SPIEGEL;anschlag;world trade center;»Es ist verdammt noch mal meine Pflicht, hier zu sein« antwortete der Händler von Lehman Brothers, als lese er von einer unsichtbaren Drehbuchseite ab.</p><p> Dass die amerikanische Wirtschaft nicht erst seit dem Anschlag auf das World Trade Center aus dem Tritt geraten ist, wissen die Experten nur zu genau.;erst seit dem Anschlag auf das World;https://www.spiegel.de/wirtschaft/mit-den-waffen-des-markts-a-40b474b3-0002-0001-0000-000020184277
2001;SPIEGEL;anschlag;world trade center;»Ich glaube, wir haben Grund zur Annahme, dass die Wirtschaft mit ein wenig Verspätung zu alter Stärke zurückfindet«, meinte Christine Callies, Chefanalystin der Investmentbank Merrill Lynch, am Dienstag, kurz bevor der Dow erneut alle Auffanglinien durchschlug.</p><p> Ihr Kollege Joe McAlinden von Morgan Stanley nennt den Anschlag auf das World Trade Center sogar einen Wendepunkt zum Guten.;Stanley nennt den Anschlag auf das World;https://www.spiegel.de/wirtschaft/mit-den-waffen-des-markts-a-40b474b3-0002-0001-0000-000020184277
2001;SPIEGEL;anschlag;osama bin laden;»Weder ich noch irgendein anderes Mitglied meiner Familie unterhält Kontakt zu Osama Bin Laden«, teilt der Multimillionär, der sich selbst ausdrücklich Binladin nennt, auf Anfrage dem SPIEGEL mit.</p><p> »Ich bin zutiefst geschockt über den terroristischen Anschlag, dem in den USA unschuldige Menschen zum Opfer fielen«, versicherte er, ohne das schwarze Schaf der Familie ausdrücklich zu erwähnen.</p><p> Fest steht: Die Familie lebt ein anderes Leben als der Mann in den Bergen Afghanistans.;über den terroristischen Anschlag dem in den;https://www.spiegel.de/wirtschaft/vielkoepfige-hydra-a-d00b6922-0002-0001-0000-000020184278
2001;SPIEGEL;anschlag;bin laden;»Weder ich noch irgendein anderes Mitglied meiner Familie unterhält Kontakt zu Osama Bin Laden«, teilt der Multimillionär, der sich selbst ausdrücklich Binladin nennt, auf Anfrage dem SPIEGEL mit.</p><p> »Ich bin zutiefst geschockt über den terroristischen Anschlag, dem in den USA unschuldige Menschen zum Opfer fielen«, versicherte er, ohne das schwarze Schaf der Familie ausdrücklich zu erwähnen.</p><p> Fest steht: Die Familie lebt ein anderes Leben als der Mann in den Bergen Afghanistans.;über den terroristischen Anschlag dem in den;https://www.spiegel.de/wirtschaft/vielkoepfige-hydra-a-d00b6922-0002-0001-0000-000020184278
2001;SPIEGEL;anschlag;al-qaida;Denn: »Seit vier Jahren irrt das FBI ohne Erfolg darin herum«, klagt Kenneth Katzman, der einen Tag vor dem Anschlag dem US-Kongress seinen Terrorismusreport ablieferte.</p><p> Auch für die Zukunft macht sich der amerikanische Experte nicht allzu große Hoffnungen, al-Qaida zu durchschauen.;Tag vor dem Anschlag dem US Kongress;https://www.spiegel.de/wirtschaft/vielkoepfige-hydra-a-d00b6922-0002-0001-0000-000020184278
2001;SPIEGEL;anschlag;world trade center;Hintergrund der gigantischen Ermittlung ist dabei ein grausamer Verdacht: Die Terroristen oder ihre Hintermänner haben möglicherweise die Weltfinanzmärkte benutzt, um mit ihrer Tat Millionen zu verdienen.</p><p> Denn wer wusste, dass der Anschlag auf das World Trade Center bevorstand, der konnte sich denken, dass bestimmte Aktien danach dramatisch fallen.;wusste dass der Anschlag auf das World;https://www.spiegel.de/wirtschaft/die-elektronische-spur-a-a70c59b4-0002-0001-0000-000020184279
2001;SPIEGEL;tat;world trade center;Hintergrund der gigantischen Ermittlung ist dabei ein grausamer Verdacht: Die Terroristen oder ihre Hintermänner haben möglicherweise die Weltfinanzmärkte benutzt, um mit ihrer Tat Millionen zu verdienen.</p><p> Denn wer wusste, dass der Anschlag auf das World Trade Center bevorstand, der konnte sich denken, dass bestimmte Aktien danach dramatisch fallen.;um mit ihrer Tat Millionen zu verdienen;https://www.spiegel.de/wirtschaft/die-elektronische-spur-a-a70c59b4-0002-0001-0000-000020184279
2001;SPIEGEL;attacke;world trade center;Das FBI hat Landwirtschaftspiloten gebeten, beim Besprühen der Felder auf »jedwede ungewöhnliche Aktivität in Bezug auf Training, Benutzung oder Kauf gefährlicher Chemikalien oder deren Verbreitung aus der Luft« zu achten.</p><p> Seit der Attacke auf das Pentagon und das World Trade Center traut man Terroristen alles zu: Wer in der Lage ist, Flugzeuge mitsamt Passagieren in belebte Hochhäuser zu rammen, scheut womöglich auch nicht davor zurück, Tausende von Menschen gezielt mit Erregern tödlicher Krankheiten wie Milzbrand und Pocken zu infizieren oder mit Senf- oder Nervengas zu vergiften.</p><p> Im Unterschied zu Sprengstoffanschlägen würden Angriffe mit todbringenden Bakterien oder Viren anfangs gar nicht bemerkt (siehe Grafik).;p Seit der Attacke auf das Pentagon;https://www.spiegel.de/wissenschaft/leibhaftige-hoelle-a-8e25e8b8-0002-0001-0000-000020184314
2001;SPIEGEL;attentat;osama bin laden;So hat der Terroristenführer Osama Bin Laden angeblich noch in der Woche nach dem Attentat auf Amerika in der arabischen Zeitung »al-Hajat« bekräftigt, dass Tausende junge, ergebene Muslime in chemischer, biologischer und nuklearer Kriegführung trainiert wurden und bereit seien, als Märtyrer zu sterben.;Woche nach dem Attentat auf Amerika in;https://www.spiegel.de/wissenschaft/leibhaftige-hoelle-a-8e25e8b8-0002-0001-0000-000020184314
2001;SPIEGEL;attentat;bin laden;So hat der Terroristenführer Osama Bin Laden angeblich noch in der Woche nach dem Attentat auf Amerika in der arabischen Zeitung »al-Hajat« bekräftigt, dass Tausende junge, ergebene Muslime in chemischer, biologischer und nuklearer Kriegführung trainiert wurden und bereit seien, als Märtyrer zu sterben.;Woche nach dem Attentat auf Amerika in;https://www.spiegel.de/wissenschaft/leibhaftige-hoelle-a-8e25e8b8-0002-0001-0000-000020184314
2001;SPIEGEL;attentat;world trade center;Allen, wie haben Sie von dem Attentat auf das World Trade Center erfahren?</p><p> Allen: Ich war in der Küche in meiner Wohnung auf der Upper East Side, als jemand aus dem Haus sagte: Mach mal den Fernseher an - ein Flugzeug hat das World Trade Center getroffen.;Sie von dem Attentat auf das World;https://www.spiegel.de/kultur/wir-waren-zu-sorglos-a-acbef750-0002-0001-0000-000020184328
2001;SPIEGEL;anschlag;world trade center;Mohammed Atta nahm das Flugzeug von Portland im Bundesstaat Maine nach Boston, landete verspätet, rannte durch den Flughafen und erwischte die Boeing 767, Flug 011 der American Airlines.</p><p> Seine Boeing.</p><p> »Schlag sehr hart in das Genick«, steht im Leitfaden für Selbstmordattentäter.</p><p> Härter ging es nicht: Atta steuerte die Boeing 767 gegen den nördlichen Turm des World Trade Center, und das war der Beginn jener Katastrophe, die die Welt verändert hat.</p><p> Es war ein Massenmord nach Dienstanweisung.</p><p> Denn jeder Schritt, jeder Gedanke, der für diese Tat nötig war, steht in jenem Papier, das Fahnder der amerikanischen Bundespolizei FBI schon kurz nach dem Anschlag beschlagnahmten.;kurz nach dem Anschlag beschlagnahmten;https://www.spiegel.de/politik/anleitung-zum-massenmord-a-4bd7f0fd-0002-0001-0000-000020240145
2001;SPIEGEL;tat;world trade center;Mohammed Atta nahm das Flugzeug von Portland im Bundesstaat Maine nach Boston, landete verspätet, rannte durch den Flughafen und erwischte die Boeing 767, Flug 011 der American Airlines.</p><p> Seine Boeing.</p><p> »Schlag sehr hart in das Genick«, steht im Leitfaden für Selbstmordattentäter.</p><p> Härter ging es nicht: Atta steuerte die Boeing 767 gegen den nördlichen Turm des World Trade Center, und das war der Beginn jener Katastrophe, die die Welt verändert hat.</p><p> Es war ein Massenmord nach Dienstanweisung.</p><p> Denn jeder Schritt, jeder Gedanke, der für diese Tat nötig war, steht in jenem Papier, das Fahnder der amerikanischen Bundespolizei FBI schon kurz nach dem Anschlag beschlagnahmten.;der für diese Tat nötig war steht;https://www.spiegel.de/politik/anleitung-zum-massenmord-a-4bd7f0fd-0002-0001-0000-000020240145
